,Titles,Column_Titles,description,URLs
70,Distance travelled to work,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Distance travelled to work (11 categories) Code', 'Distance travelled to work (11 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by the distance they travelled to work. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS058/editions/2021/versions/3
71,Second address indicator,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Second address indicator (3 categories) Code', 'Second address indicator (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their use of a second address, and whether the second address is inside or outside the UK. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS056/editions/2021/versions/4
72,Purpose of second address,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Second address type (10 categories) Code', 'Second address type (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales with a second address by the purpose of that second address. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS055/editions/2021/versions/4
73,Tenure,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (9 categories) Code', 'Tenure of household (9 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS054/editions/2021/versions/4
74,Occupancy rating for rooms,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Occupancy rating for rooms (6 categories) Code', 'Occupancy rating for rooms (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by occupancy rating based on the number of rooms in the household. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS053/editions/2021/versions/4
75,Occupancy rating for bedrooms,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Occupancy rating for bedrooms (6 categories) Code', 'Occupancy rating for bedrooms (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by occupancy rating based on the number of bedrooms in the household. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS052/editions/2021/versions/5
76,Number of rooms,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Number of rooms (Valuation Office Agency) (9 categories) Code', 'Number of rooms (Valuation Office Agency) (9 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify all household spaces with at least one usual resident in England and Wales by number of rooms. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS051/editions/2021/versions/4
77,Number of bedrooms,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Number of Bedrooms (5 categories) Code', 'Number of Bedrooms (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify all household spaces with at least one usual resident in England and Wales by number of bedrooms. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS050/editions/2021/versions/4
78,Communal establishment management and type,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Communal establishment management and type (26 categories) Code', 'Communal establishment management and type (26 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify communal establishment residents in England and Wales by the type of communal establishment they reside in. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS048/editions/2021/versions/4
79,Communal establishment residents by age and sex,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Position in communal establishment and sex and age (19 categories) Code', 'Position in communal establishment and sex and age (19 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify communal establishment residents in England and Wales by age and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS047/editions/2021/versions/4
80,Central heating,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Type of central heating in household (13 categories) Code', 'Type of central heating in household (13 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify occupied household spaces in England and Wales by the type of central heating present. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS046/editions/2021/versions/4
81,Car or van availability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Car or van availability (5 categories) Code', 'Car or van availability (5 categories)', 'Observation']","This dataset provides Census 2021 estimates on the number of cars or vans available to members of households for England and Wales. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS045/editions/2021/versions/4
82,Accommodation type,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Accommodation type (8 categories) Code', 'Accommodation type (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by accommodation type. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS044/editions/2021/versions/4
83,Number of Households,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Observation']","This dataset provides Census 2021 estimates on the number of households in England and Wales. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS041/editions/2021/versions/3
84,Number of disabled people in the household,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Number of disabled people in household (4 categories) Code', 'Number of disabled people in household (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by the number of disabled people in the household. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS040/editions/2021/versions/3
85,"Provision of unpaid care, age-standardised proportions","['Lower tier local authorities Code', 'Lower tier local authorities', 'Unpaid care (5 categories) Code', 'Unpaid care (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 5 years and over in England and Wales by the number of hours of unpaid care they provide. The estimates are as at Census Day, 21 March 2021. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",https://api.beta.ons.gov.uk/v1/datasets/TS039ASP/editions/2021/versions/4
86,Provision of unpaid care,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Unpaid care (7 categories) Code', 'Unpaid care (7 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 5 years and over in England and Wales by the number of hours of unpaid care they provide. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS039/editions/2021/versions/3
87,"Disability, age-standardised proportions","['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by long-term health problems or disabilities. The estimates are as at Census Day, 21 March 2021. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",https://api.beta.ons.gov.uk/v1/datasets/TS038ASP/editions/2021/versions/2
88,Disability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Disability (5 categories) Code', 'Disability (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by long-term health problems or disabilities. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS038/editions/2021/versions/3
89,"General health, age-standardised proportions","['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'General health (6 categories) Code', 'General health (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by the state of their general health. The estimates are as at Census Day, 21 March 2021. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",https://api.beta.ons.gov.uk/v1/datasets/TS037ASP/editions/2021/versions/2
90,General health,"['Lower tier local authorities Code', 'Lower tier local authorities', 'General health (6 categories) Code', 'General health (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by the state of their general health. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS037/editions/2021/versions/3
91,Welsh language skills (understanding),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh understanding ability (3 categories) Code', 'Welsh understanding ability (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in Wales by their ability to understand Welsh. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS036/editions/2021/versions/3
92,Welsh language skills (reading),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh reading ability (3 categories) Code', 'Welsh reading ability (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in Wales by their ability to read Welsh. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS035/editions/2021/versions/3
93,Welsh language skills (writing),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh writing ability (3 categories) Code', 'Welsh writing ability (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in Wales by their ability to write Welsh. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS034/editions/2021/versions/3
94,Welsh language skills (speaking),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh speaking ability (3 categories) Code', 'Welsh speaking ability (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in Wales by their ability to speak Welsh. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS033/editions/2021/versions/3
95,Welsh language skills (detailed),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh language skills (10 categories) Code', 'Welsh language skills (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in Wales by their overall Welsh language skills. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS032/editions/2021/versions/3
96,Religion (detailed),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Religion (detailed) (58 categories) Code', 'Religion (detailed) (58 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS031/editions/2021/versions/4
97,Religion,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS030/editions/2021/versions/3
98,Proficiency in English,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Proficiency in English language (6 categories) Code', 'Proficiency in English language (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in England and Wales by their proficiency in English. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS029/editions/2021/versions/3
99,National identity (detailed),"['Lower tier local authorities Code', 'Lower tier local authorities', 'National identity (detailed) (73 categories) Code', 'National identity (detailed) (73 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their national identity. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS028/editions/2021/versions/4
100,National identity - UK,"['Lower tier local authorities Code', 'Lower tier local authorities', 'National identity (17 categories) Code', 'National identity (17 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their national identity. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS027/editions/2021/versions/4
101,Multiple main languages in household,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Multiple main languages in household (6 categories) Code', 'Multiple main languages in household (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by the combination of household members speaking the same or different main languages. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS026/editions/2021/versions/3
102,Household language,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Household language (English and Welsh) (5 categories) Code', 'Household language (English and Welsh) (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by the combination of adults and children within a household that have English (English or Welsh in Wales) as a main language. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS025/editions/2021/versions/3
103,Main language (detailed),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Main language (detailed) (95 categories) Code', 'Main language (detailed) (95 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in England and Wales by their main language. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS024/editions/2021/versions/3
104,Multiple ethnic group,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Multiple ethnic groups in household (6 categories) Code', 'Multiple ethnic groups in household (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by the diversity in ethnic group of household members in different relationships. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS023/editions/2021/versions/3
105,Ethnic group (detailed),"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Ethnic Group (detailed) (288 categories) Code', 'Ethnic Group (detailed) (288 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS022/editions/2021/versions/2
106,Ethnic group,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Ethnic group (20 categories) Code', 'Ethnic group (20 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS021/editions/2021/versions/3
107,Number of non-UK short-term residents by sex,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS020/editions/2021/versions/3
108,Migrant Indicator,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Migrant indicator (5 categories) Code', 'Migrant indicator (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged one year and over in England and Wales by their address one year ago, in order to determine their status as a migrant from within or outside the UK. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS019/editions/2021/versions/3
109,Age of arrival in the UK,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Age of arrival in the UK (18 categories) Code', 'Age of arrival in the UK (18 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their age of arrival in the UK. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS018/editions/2021/versions/3
110,Household size,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Household size (9 categories) Code', 'Household size (9 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify all households in England and Wales by household size. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS017/editions/2021/versions/3
111,Length of residence,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Length of residence in the UK (6 categories) Code', 'Length of residence in the UK (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their length of residence in the UK. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS016/editions/2021/versions/3
112,Year of arrival in UK,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Year of arrival in the UK (13 categories) Code', 'Year of arrival in the UK (13 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their year of arrival in the UK. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS015/editions/2021/versions/3
113,Passports held (detailed),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Passports held (52 categories) Code', 'Passports held (52 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by passports held. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS013/editions/2021/versions/3
114,Country of birth (detailed),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Country of birth (60 categories) Code', 'Country of birth (60 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their country of birth. The estimates are as at Census Day, 21 March 2021.

Following analysis after publishing topic summaries data, we released data at extra geography levels for some datasets.",https://api.beta.ons.gov.uk/v1/datasets/TS012/editions/2021/versions/2
115,Households by deprivation dimensions,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Household deprivation (6 categories) Code', 'Household deprivation (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by four dimensions of deprivation: Employment, education, health and disability, and household overcrowding. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS011/editions/2021/versions/4
116,Living arrangements,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Living arrangements (11 categories) Code', 'Living arrangements (11 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales by their living arrangements. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS010/editions/2021/versions/5
117,Sex by single year of age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (91 categories) Code', 'Age (91 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by sex and single year of age. The estimates are as at Census Day, 21 March 2021.
 
The classifications for the datasets TS009 Sex by single year of age and RM200 Sex by single year of age (detailed) are the same. However, RM200 has data available at the lower geographies of:

* Lower layer Super Output Areas (LSOAs)
* Middle layer Super Output Areas (MSOAs)
* Electoral wards and divisions
* Westminster parliamentary constituencies",https://api.beta.ons.gov.uk/v1/datasets/TS009/editions/2021/versions/2
118,Sex,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS008/editions/2021/versions/4
119,Age by single year,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Age (101 categories) Code', 'Age (101 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by single year of age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS007/editions/2021/versions/3
120,Population density,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by population density (number of usual residents per square kilometre). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS006/editions/2021/versions/4
121,Passports held,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Passports held (27 categories) Code', 'Passports held (27 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by passports held. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS005/editions/2021/versions/3
122,Country of birth,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Country of birth (12 categories) Code', 'Country of birth (12 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by their country of birth. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS004/editions/2021/versions/3
123,Household composition,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Household composition (15 categories) Code', 'Household composition (15 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by the relationships between household members (household composition). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS003/editions/2021/versions/3
124,Legal partnership status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Marital and civil partnership status (12 categories) Code', 'Marital and civil partnership status (12 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by their legal partnership status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS002/editions/2021/versions/3
125,Number of usual residents in households and communal establishments,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Residence type (2 categories) Code', 'Residence type (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by whether they resided in households and communal establishments. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS001/editions/2021/versions/3
126,Number of non-UK born short-term residents by sex by single year of age,"['Regions Code', 'Regions', 'Age (86 categories) Code', 'Age (86 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by sex and by single year of age. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST013/editions/2021/versions/1
127,Number of non-UK born short-term residents by ns-sec,"['Lower tier local authorities Code', 'Lower tier local authorities', 'National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code', 'National Statistics Socio-economic Classification (NS-SeC) (12 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents aged 16 years and over in England and Wales by NS-SEC. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST012/editions/2021/versions/1
128,Number of non-UK born short-term residents by occupation,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents aged 16 years and over in employment the week before the census in England and Wales by occupation. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST011/editions/2021/versions/1
129,Number of non-UK born short-term residents by industry,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Industry (current) (19 categories) Code', 'Industry (current) (19 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents aged 16 years and over in employment the week before the census in England and Wales by industry. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST010/editions/2021/versions/1
130,Number of non-UK born short-term residents by economic activity,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Economic activity status (12 categories) Code', 'Economic activity status (12 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents aged 16 years and over in England and Wales by economic activity. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST009/editions/2021/versions/1
131,Number of non-UK born short-term residents in household spaces by tenure,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (11 categories) Code', 'Tenure of household (11 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents in household spaces in England and Wales by tenure. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST008/editions/2021/versions/1
132,Number of non-UK born short-term residents by general health,"['Lower tier local authorities Code', 'Lower tier local authorities', 'General health (6 categories) Code', 'General health (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by general health. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST007/editions/2021/versions/1
133,Number of non-UK born short-term residents by passports held (detailed),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Passports held (52 categories) Code', 'Passports held (52 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by passports held. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST006/editions/2021/versions/1
134,Number of non-UK born short-term residents by main language,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Main language (detailed) (23 categories) Code', 'Main language (detailed) (23 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents aged 3 years and over in England and Wales by main language. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST005/editions/2021/versions/1
135,Number of non-UK born short-term residents by country of birth,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Country of birth (66 categories) Code', 'Country of birth (66 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by country of birth. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST004/editions/2021/versions/1
136,Number of non-UK born short-term residents by ethnicity,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Ethnic group (20 categories) Code', 'Ethnic group (20 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by ethnic group. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST003/editions/2021/versions/1
137,Number of non-UK born short-term residents by sex by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (23 categories) Code', 'Age (23 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by sex and by age. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST002/editions/2021/versions/1
138,Number of non-UK born short-term residents by residence type,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Residence type (2 categories) Code', 'Residence type (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify non-UK born short-term residents in England and Wales by residence type. The estimates are as at Census Day, 21 March 2021. We have not adjusted these estimates to correct for non-response. Consider this when comparing results with 2011 Census short-term resident estimates.",https://api.beta.ons.gov.uk/v1/datasets/ST001/editions/2021/versions/1
139,Dwelling type,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Number of household spaces in shared dwellings (3 categories) Code', 'Number of household spaces in shared dwellings (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify dwellings in England and Wales by whether they are a shared or unshared dwelling, with shared dwellings further categorised by the number of household spaces in each dwelling. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM205/editions/2021/versions/1
140,Number of Dwellings,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Observation']","This dataset provides Census 2021 estimates on the number of dwellings in England and Wales. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM204/editions/2021/versions/1
141,Legal partnership status by sex by age - Communal establishment residents,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Marital and civil partnership status (6 categories) Code', 'Marital and civil partnership status (6 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (D) (11 categories) Code', 'Age (D) (11 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in communal establishments in England and Wales by legal partnership status, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM203/editions/2021/versions/1
